Comment
Terima kasih teman-teman udah lihat trailer Gundala dan ninggalin komen-komen yang bikin kami tambah semangat dan nggak sabar rilis filmnya. :)
Itu yang saya suka dari kamu karena kamu tau harus setia kepada siapa
Bagusan mana film ini sama film Rafathar?
"Baru sekali nonton dan langsung sukaak ya ampun, ga sabar nunggu film virgo and the sparklings dan juga sri asih yang bakal selanjutnya ditayangin... Semoga bisa sesukses marvel yaa ❤✨"
"Mantapss, 
Ingin Tepuk tangan"
"After I read this comments on this video it makes me laugh, why i am laughing? Because the content of his comments disgrace this film even though this film is not bad enough, even this film is included in the list film that must be watched at the Toronto Internasional Film Festival ( tiff 2019 ). The people at the Toronto Internasional Film Festival really appreciated this film. This is not a lie but the fact behind this gundala film😀😊"
https://youtu.be/fm5umgeceFs
"I'm telling you right now this movie is damn good it's like the Indian superhero movie I was surprised this movie was so good pengkor character was a great villain he owned all orphanages and turn them on to assassin killers to terrorize the whole community, good movie, lots of action,  you really have to watch this movie if you don't believe me I give this a 8 out of the 10 !!!!"
https://youtu.be/UQ1TxY40E_Y
Gw datang karena Ashiap Man
"Filmnya dah masuk di cmovies.hd loh..
Dan setelah nonton,malahan enggak sabar lagi menunggu kelanjutannya  (Sri asih)"
link full movie nya ada gk ea
The Dark Knight Rises vibes
Scene terbaik saat sudjiwo tejo jadi ki wilawuk
ok
Watched this movie...Very disappointed..movie started well but lost in the middle..Action sequences are not good..Should have been better.
When you order flash on the wish app.
"""belajar buat ngurus hidup lu sendiri,karena kalo lu ngurusin hidup orang lain,hidup lu bakal susah"""
"Just finish watching the bluray today and the story was emotionally engaging, the action was satisfying. I love this movie and excited for the bumalangit cinematic universe. They can compete with marvel and much better that dc hahaha.!"
Just finished watching this and was absolutely great!! Love the way they set it up for part 2! I can't wait!
"Вот тут смотрите 
https://youtu.be/9dnemfv5o84"
Is this a real movie
Awaanggggg lup yuuuu
"10 Most Embarrassing moments in sports



https://youtu.be/OyAhHwmZnnY"
"""The People Must Stay Ignorant""."
Di sctv ada pertama tayang bulan agustus
Di tunggu lanjutannya karena endingnya masih nanggung..
"Loved the movie! I never heard of the comic before tbh, but will definitely check it out. The cinematography is astounding plus the action was well choreographed as well. Hopefully a sequel is in the books."
Ini latar film dunia pasca perang nuclir di masa yg akan datang menurut gue karena sudah keterpurukan
wtf is this crap yet a nother 3rd world loser movie
"At least jauh lebih bagus dari cerita ""Badang"" Aliff Syukri"
meh...and nobody speaks chinese
flopped
Deadpool breaks the 4th wall again and stole Thor’s helmet.
"Amazing, fast paced action thriller.
If u enjoyed Nolan's Dark Knight trilogy, then u will definitely enjoy this one too."
Great film man!!!
Myr  myr myreyyy
Bron palare from malaysia pun ada!!
Iyaa keren banget....  Pas keluar di bioskop udah keburu berangkat ke jepang...  Jadi baru nonton kemarin2 ... Gila keren abis...  Langsung jatuh hati sama karakter  sanchaka kecil dan awang.....
