No,Datetime,User,Text
31,2020-02-02 05:03:41+00:00,tvOneNews,omik Gundala akhirnya siap mendunia. Bumilangit Entertainment bersama Shogakukan Asia meluncurkan komik Gundala Destiny the Official Movie Adaptation - English Edition. Selengkapnya di http://ow.ly/IrGR50yb7BK Sumber: http://Viva.co.id #NewsOne #tvOneNews #Gundala 
32,2020-02-02 00:20:41+00:00,antarriksa_,Sri asiih #gundala #BCU #FANART #dewiasih #sriasih
33,2020-02-01 11:32:52+00:00,antaranews,Komik ini merupakan terjemahan bahasa Inggris dari komik Gundala - Takdir yang telah menjadi best seller dan mencapai cetakan keempat di dalam negeri. #gundala 
34,2020-02-01 11:14:13+00:00,antaranews,Versi komik bahasa Inggris dengan judul Gundala Destiny itu telah dipasarkan di toko buku di Malaysia Singapura dan Brunei Darussalam serta menyusul negara-negara lain Asia Tenggara. #Gundala https://www.antaranews.com/berita/1274919/komik-gundala-dibuat-dalam-versi-bahasa-inggris
35,2020-02-01 11:14:07+00:00,tigerlilybubu,Caption this. #Gundala #PressConference #Launching @Plaza Senayan https://www.instagram.com/p/B8Ba4U_AU12/?igshid=19ntjwnduerco
36,2020-02-01 07:54:37+00:00,bapakranger,Launching + talkshow + book signing komik Gundala: Destiny sekaligus strategic partnership antara Bumilangit dan Shogakukan Asia Mohon senantiasa doa restu dan dukungannya ya #Gundala #Bumilangit #ShogakukanAsia #GundalaDestiny #KomikIndonesia #JagatSinemaBumilangit â€“ at Kinokuniya
37,2020-02-01 07:27:26+00:00,HusnaAtjeh,Kontak ah bisa ya gitu Seperti gundala #gundala
38,2020-01-31 18:35:15+00:00,middlenait,Alhamdulillah! Selama 2 jam telah menyaksikan film layar lebar yg seru vidio Exclusive #GUNDALA Terima kasih â€¢ Telkomsel u/ redeem 5 poin Tsel sehingga bisa berlangganan Vidio Premier 7 hari. â€¢ myXL u/ #JaringanInternetStabil (31/01) - (01/02) 2020
39,2020-01-31 18:31:34+00:00,pangeran229,Alhamdulillah! Selama 2 jam telah menyaksikan film layar lebar yg seru @vidio Exclusive #GUNDALA Terima kasih â€¢ @Telkomsel u/ redeem 5 poin Tsel sehingga bisa berlangganan Vidio Premier 7 hari. â€¢ @myXL u/ #JaringanInternetStabil (31/01) - (01/02) 2020
40,2020-01-31 12:30:39+00:00,myblogfilm,Nontonnya jangan bajakanlah walaupun gua sendiri download yg bajakannya sih gua juga udh bayar di vidio. com dan nonton disananya. Tapi itu yaa terkait masing2 orang lah. Sekian. #gundala #FilmTwitter #filmreview #Review #reviewfilm
41,2020-01-31 08:36:45+00:00,_muhammadhasib,#NontonGakPakeiRibet @vidio @jokoanwar @MuzakkiRamdhan #Gundala 
42,2020-01-30 19:46:25+00:00,inspirasiemak,Pengen pergi jauhÂ² untuk selamanya agar tak ada lagi yang membebankan kalian #baper #statusbaper #Agnezmo #FotoProfilBaru #Pemilu2019 #RecehkanTwitter #Gosip90an #Jokowi #MataNajwa #SobatAmbyar #Gundala #DariHalteKeHalte
43,2020-01-30 18:07:18+00:00,gundala_film,The city gets worse and injustice rages throughout the country Sancaka must decide whether he continues to live to look after himself or rise to become their oppressed hero. @gundala_film Watch or Download GUNDALA &lt
44,2020-01-30 15:48:18+00:00,y_e_r_e_s_a,Ketika makan di foto dulu baru berdoa  be like Colek gundalaofficial mybumilangit jagatsinema_bumilangit @jokoanwar ical_tanjung @bapakranger #gundala #negeriinibutuhpatriot #wulanâ€¦ https://www.instagram.com/p/B78wrFxhZO9Umez0hhVIl40Kv6xP5XHqCUbmTI0/?igshid=m2xht78intf1
45,2020-01-30 14:08:42+00:00,VernardoLau,But wait a second..... What if you could get thunderstruck as a hero? Isn't that too obvious to discussed? I will let @jokoanwar and @bumilangitcom know bout it till now #gundala may be arrived in Netflix in later date! https://twitter.com/MrCooper92/status/1222592023217233921
46,2020-01-30 12:02:04+00:00,Tesssla2,Filem #gundala ni membuatkn aku tak berganjak dari screen.Jalan ceritanya menarik skripnya mantap lakonan dan lontaran dialognya padu sinematografinya cantik.Tahniah kpd semua yg trlibat dlm pembikinan filem ini. Thank u for giving me 'rasa' itu @Bront_Palarae @jokoanwar
47,2020-01-30 11:42:20+00:00,Fakhriartwork,Apresiasiku untuk film Gundala #art #drawing #pointilis #illustration #gundala 
48,2020-01-30 08:19:45+00:00,AbimanA_A,Hari sabtu 1 feb akan ada launching comic #Gundala english version di kinokuniya plaza senayan https://www.instagram.com/p/B779V6_Hd3x/?igshid=smqzyg1w9aew
49,2020-01-29 16:50:09+00:00,Artemizz_,#gundala
50,2020-01-29 13:14:27+00:00,fikri_hikaru,Baru sempat beli... tunggu reviewnya di channel FIKRI HIKARU.. #comicbooks #komikindonesia #bumilangit #gundala #komik #reviewkomik https://www.instagram.com/p/B756RaXgajA/?igshid=1l8rfgdr03ayu
51,2020-01-29 05:44:01+00:00,Bennyboegiz,SENGKUNI tawarkan bantuan ke CHINA untuk menagani CORONA Sengkuni mulai ambil peranan cc #jackychan #Gundala #Sumohung 
52,2020-01-29 02:38:59+00:00,zonafilm_top,Download Film Gundala : Negeri ini Butuh Patriot Full Movie https://bit.ly/Gundala2019 #gundala #gundalamy #downloadfilm #rabusantuy #rabuambyar #Rebahan #indoxxi #lk21 #layarkaca21 #movie #movies #rabu #kamisambyar #bacotsantuy #jumatambyar
53,2020-01-29 02:23:11+00:00,bapakranger,Mentemen semua jelang akhir Jan 2020 buku keempat @bumilangitcom hadir lho! Ikuti petualangan para jagoan kita di Gundala &amp
54,2020-01-28 15:31:42+00:00,IamVaudzan7,Ada yg punya link streaming gundala? #gundala
55,2020-01-28 13:22:12+00:00,salsaridwan,Mau dateeengg #Gundala 
56,2020-01-27 09:40:31+00:00,mainmainid_,Setelah tahun kemarin kita dibuat kagum dengan hadirnya film #Gundala dari studio #Bumilangit akan segera hadir pula film #SatriaDewaGatotKaca garapan #HanungBramantyo
57,2020-01-27 08:55:19+00:00,n0obil,just saw #Gundala movie last week. Itâ€™s bot perfect but im loving it. Cant wait for the upcoming Bumilangit Movies! 
58,2020-01-27 06:51:11+00:00,bumilangitcom,Ada kabar gembira nih Sobat Bumilangit! Gundala Movie Adaptation : Destiny akan segera dirilis di Indonesia! Akan ada acara launching resminya di Kinokuniya Plaza Senayan 1 Februari 2020! Yuk ikutan! . #Bumilangit #negeriinibutuhpatriot #gundala #jagoanindonesia
59,2020-01-26 18:46:06+00:00,benk_ky,Liat wabah Virus Corona jadi keingat film GUNDALA gegara udah sama aja nih adegan film sama dunia nyata. Gundala mana kamu! Negeri ini butuh patriot :( @jokoanwar plis datangkan!! #gundala #negeriinibutuhpatriot #VirusCorona
60,2020-01-26 18:04:55+00:00,icaluddin_,Nonton ulang Gundala di Vidio sambil scroll thread ini dah #Gundala 
61,2020-01-26 16:12:01+00:00,irvanarisma,#gundala 
62,2020-01-26 15:09:27+00:00,nikenoctavia8,buat para jomblo yang lagi pada  GEGANA  mending nonton gundala ada ya #rebahin #indoxxi #indoxx1 #gundala #filmgundala #nontongundala #cinema21 #cinematic https://rebahin.net/film-gundala-2019-full-movie/
63,2020-01-26 13:08:23+00:00,rahadianagung,DC VS Marvel.. obviously #gatotkaca #gundala 
64,2020-01-26 11:12:56+00:00,Oscar84504251,Bang tolong dong bilangin ke sancaka buat ngatasin negeri ini dari ancama #VirusCorona karna #negeriinibutuhpatriot #gundala
65,2020-01-26 09:54:55+00:00,noermanedogawa,Pahlawan super harus kuat literasinya Tersambar petir selain kuat saya pikir Gundala bisa pinter mendadak ternyata harus rajin baca juga #gundala #jokoanwar #literasi @gundalaofficial @jokoanwar
66,2020-01-26 03:46:20+00:00,kartowidjojo,There is #GameOfThrones hint. There is #Sherlock hint. There is #Kingsman hint. There is #Gundala hint! #1917Movie
67,2020-01-25 06:00:15+00:00,bumilangitcom,Wah dapat telepon dari Bapak nih! Kira-kira ditelepon karena apa ya? Cek yuk berdasarkan angka terakhir nomor hp mu! Kamu dapetnya apa nih? Komen di bawah yaa... . #bumilangit #jagoanindonesia #negeriinibutuhpatriot #gundala 
68,2020-01-25 00:51:24+00:00,sailornepjoone,also one of the best scene for me Dea Panendra acts as the bride settle things down when the chaos during her wedding took place all in her bridal makeup and kebaya attire. Genius. scene stealer. Sheâ€™s one of the best actress Indonesia can have. Go watch her films! #Gundala
69,2020-01-25 00:45:16+00:00,sailornepjoone,when Sri Asih appeared i held my breath shes so coooooollll! i cannot wait for her film! #Gundala
70,2020-01-25 00:42:52+00:00,sailornepjoone,the scene of the legislative meeting in the DPR building makes me laugh so much full of hypocrisy talk i choose to believe that this is written on purpose #Gundala
71,2020-01-24 11:56:58+00:00,viwa_wabang,Baru saya menonton #gundala dengan hasil mendownload Kagak ada bioskop di ende Sumpahhhhhh
72,2020-01-24 10:00:39+00:00,Movielatteee,Tahukah kamu kostum super hero gundala di buat oleh perusahan yang membuat kostum superhero marvel deredevil dan kostum ini juga di buat di los angeles amerika #gundala #movielattee #jokoanwar #superhero #marvel #deredevil #superheroindonesia #movies #film
73,2020-01-24 09:16:07+00:00,faizar88,Mungkinkah satria dewa dan jagat bumi langit.. kaya marvel dan DC?? Makin kaya emang perfilm an kita.. kusuka!!! #gatotkaca #satriadewa #jagatbumilangit #gundala
74,2020-01-24 08:46:41+00:00,dheadhey17,Gundalanya ada banyakkk @jokoanwar #gundala 
75,2020-01-24 07:00:12+00:00,bhinneka,Mau nonton film action tapi tetap hemat? Eits nontonnya di @vidio aja dong. Mumpung lagi ada promo potongan harga nih kapan lagi ya kan! Yuk langsung aja cek promonya di https://bhnk.co/VidioNontonActionHemat-TW #PromoJanuari #Gundala #Vidio
76,2020-01-23 17:28:51+00:00,aldassuf,Kerasa gak bang? @jokoanwar #Gundala #PerempuanTanahJahanam
